# world_tune_pick v7fine: chi2 vs PHENIX pi/K/p (|y|<0.35, per inelastic, 5% gen floor) + dNch/deta target 2.33+-0.12; 9 points
rank label                                   chi2tot  chi2pi   chi2K   chi2p  chi2dn   dnde  <r>pi   <r>K   <r>p    eps   <pT>
   1 fine_p2.50_s0.360_k0.270_q0.110           868.6   426.9   277.9   163.0     0.7  2.227  1.058  1.055  1.111  0.514  0.453
   2 fine_p2.60_s0.380_k0.270_q0.110           877.2   378.3   270.8   224.1     4.0  2.089  1.029  1.019  1.011  0.508  0.461
   3 fine_p2.60_s0.360_k0.270_q0.110           880.2   409.0   283.1   184.5     3.5  2.106  0.967  0.961  0.986  0.512  0.449
   4 fine_p2.55_s0.380_k0.270_q0.110           881.1   468.5   252.8   157.6     2.1  2.157  1.104  1.074  1.097  0.512  0.463
   5 fine_p2.60_s0.400_k0.270_q0.110           913.6   467.7   237.6   203.5     4.9  2.066  1.079  1.079  1.049  0.505  0.471
   6 fine_p2.55_s0.360_k0.270_q0.110           921.6   399.4   291.1   229.2     1.9  2.166  1.011  1.016  0.992  0.513  0.451
   7 fine_p2.55_s0.400_k0.270_q0.110           934.3   521.9   249.4   160.3     2.6  2.136  1.181  1.139  1.148  0.506  0.474
   8 fine_p2.50_s0.380_k0.270_q0.110           936.5   475.8   294.8   164.8     1.1  2.206  1.142  1.118  1.157  0.511  0.465
   9 fine_p2.50_s0.400_k0.270_q0.110          1146.2   623.3   309.0   212.5     1.3  2.191  1.192  1.149  1.151  0.505  0.475
